casNO,H5ID,n_origonal,mean_sim
66434535,spectra_10761,4,0.3820216024508971
1010141401,spectra_11288,2,0.733975225093932
55191134,spectra_1181,4,0.7498599589108634
1000488510,spectra_12044,2,0.7143607796873848
1000540391,spectra_12408,2,0.02579492105995773
56051902,spectra_14549,2,0.2172825847025257
56051924,spectra_16435,2,0.3183189576435448
16729172,spectra_16941,2,0.7017366377348082
1000408100,spectra_19634,2,0.6397637774133655
74841682,spectra_22576,3,0.7223071550624547
55319885,spectra_22897,4,0.5805891822086453
55556699,spectra_23053,2,0.6759707890292379
1000412273,spectra_23309,3,0.635767528736672
76735132,spectra_24288,2,0.6798024206934847
13111289,spectra_25307,3,0.758829257920379
56784033,spectra_25774,2,0.7330457439199733
56196748,spectra_25787,2,0.14959535155933334
32384659,spectra_26340,5,0.5005124370265587
55429588,spectra_26714,3,0.7360503169224548
1188745,spectra_26806,6,0.8326506820559993
307306792,spectra_27254,3,0.6757202316362432
14030296,spectra_27296,3,0.7184799338901222
62108138,spectra_28720,2,0.569045314262856
82272013,spectra_28783,3,0.7179834797196167
55517947,spectra_28907,3,0.6662391731360244
19126988,spectra_29147,7,0.6501297111194217
19126988,spectra_29148,7,0.6550717995290599
19126988,spectra_29146,7,0.6378983957874439
19126988,spectra_29142,7,0.639817835742798
33745663,spectra_31556,2,0.711338425277853
10416598,spectra_32428,4,0.7409325996463162
17151096,spectra_540,2,0.7411004689047758
3789853,spectra_6362,6,0.8181184215307183
25436322,spectra_665,4,0.34351885999988746
55530546,spectra_7425,3,0.20780063334632648
34113763,spectra_7712,4,0.7656690850344643
